backend, world_size, message_bytes, message_mb, iter_max_mean_ms, iter_max_median_ms, throughput_gbps, avg_of_rank_means_ms, median_of_rank_medians_ms, ref_link_gbps
nccl   ,          8,       1048576,        1.0,            0.355,              0.352,           5.165,                0.346,                     0.344, 
nccl   ,          8,      10485760,       10.0,            2.508,              2.508,           7.315,                2.439,                     2.441, 
nccl   ,          8,     104857600,      100.0,           24.091,             24.088,           7.617,               24.035,                    24.034, 
nccl   ,          8,    1073741824,     1024.0,          246.267,            246.389,           7.63 ,              245.78 ,                   245.924, 
nccl   ,          2,       1048576,        1.0,            0.155,              0.156,           6.774,                0.152,                     0.151, 
nccl   ,          2,      10485760,       10.0,            1.047,              1.047,          10.02 ,                1.044,                     1.044, 
nccl   ,          2,     104857600,      100.0,            9.77 ,              9.778,          10.732,                9.763,                     9.768, 
nccl   ,          2,    1073741824,     1024.0,           97.865,             98.621,          10.972,               97.85 ,                    98.598, 
nccl   ,          4,       1048576,        1.0,            0.279,              0.28 ,           5.63 ,                0.271,                     0.27 , 
nccl   ,          4,      10485760,       10.0,            2.164,              2.165,           7.267,                2.069,                     2.066, 
nccl   ,          4,     104857600,      100.0,           20.783,             20.779,           7.568,               20.741,                    20.742, 
nccl   ,          4,    1073741824,     1024.0,          211.658,            211.653,           7.61 ,              211.504,                   211.494, 
